code,name,major,minor
ERN,"الناكفا الإريترية",نافكا,سنت
ETB,"بر اثيوبي",بير,سانتيم
ETH,إيثيريوم,إيثيريوم,جوي
EUR,اليورو,اليورو,سنت
FJD,"الدولار الفيجي",دولار,سنت
FKP,"جنيه جزر فوكلاند",جنيه,بيني
GBP,"الجنية الإسترليني البريطاني",جنيه,بيني
GEL,"لاري الجورجي",لاري,تتري
GHS,"سيدي غاني",سيدي,بيسوا
GIP,"جنيه جبل طارق",جنيه,بيني
GMD,"الدولار التايواني",دالاسي,بوتوت
GNF,"فرنك غيني",فرنك,سنت
GTQ,"كتزال غواتيمالي",كتزال,سنتافو
GYD,"دولار غياني",دولار,سنت
HKD,"دولار هونج كونج",دولار,سنت
HNL,"لمبيرة هندوراسية",ليمبيرا,سنتافو
HRK,"كونا كرواتية",كونا,ليبا
HTG,"الغورد الهايتي",غورد,سنت
HUF,"الفورنت المجري",فورنت,فيلر
IDR,"الروبية الاندونيسية",روبية,سين
ILS,"الشيكل الاسرائيلي",شيكل,أغورات
INR,"الروبية الهندية",روبية,بيسة
IQD,"الدينار العراقي",دينار,فلس
IRR,"الريال الايراني",ريال,دينار
ISK,"كرونة أيسلندية",كرونا,ايرير
JMD,"الدولار الجامايكي",دولار,سنت
JOD,"دينار أردني",دينار,قرش
JPY,"الين الياباني",ين,سين
KES,"الشلن الكيني",شلن,سنت
KGS,"سوم قيرغيزستاني",سوم,تيين
KHR,"ريال كمبودي",رييل,كاك
KMF,"فرنك قمري",فرنك,سنت
KPW,"الوون الكوري الشمالي",وون,شون
KRW,"وون كوري جنوبي",وون,جيون
KWD,"دينار كويتي",دينار,فلس
KYD,"دولار جزر كايمان",دولار,سنت
KZT,"التنج الكازاخستاني",تنغي,تيين
LAK,"كيب لاوي",كيب,أت
LBP,"الليرة اللبنانية",جنيه,قرش
LRD,"دولار ليبيري",دولار,سنت
LSL,"لوتي ليسوتو",لوتي,سينتي
LTL,"ليتاس ليتواني",ليتاس,سنتاس
LYD,"الدينار الليبي",دينار,درهم
MAD,"درهم مغربى",درهم,سانتيم
MDL,"ليو المولدوفي",ليو,المنع
MGA,"أرياري مدغشقري",أرياري,إيرايمبيلانيا
MKD,"دينار مقدوني",دينار,دينى
MMK,"كيات ميانماري",كيات,بيا
MNT,"التوغريك المنغولي",توغريك,مونجو
MOP,"باتاكا ماكاوية",باتاكا,هو
MRO,"أوقية موريتانية",اوجويا,خوم
MUR,"روبي موريشي",روبية,سنت
MVR,"روفيا مالديفية",روفية,لاري
MWK,"كواشا ملاوية",كواشا,تامبالا
MXN,"بيزو مكسيكي",دولار,سنتافو
MYR,"رينغيت ماليزي",رينجت,سين
MZN,"متكال موزمبيقي",ميتيكال,سنتافو
NAD,"الدولار الناميبي",دولار,سنت
NGN,"نيرة نيجيرية",نيرة,كوبو
NIO,"كوردبا نيكاراغوا",قرطبة,سنتافو
NOK,"كرونة نرويجية",كرون,øre
NPR,"روبية نيبالية",روبية,بايسا
NZD,"الدولار النيوزيلندي",دولار,سنت
OMR,"الريال العماني",ريال,بيسة
PAB,"بالبوا البنمية",بالبوا,سنتيسيمو
PEN,"سول بيروفي","نويفو سول",سينتيمو
PGK,"كينا بابوا غينيا الجديدة",كينا,"إلى عصام"
PHP,"بيسو فلبيني",بيزو,سينتيمو
PKR,"روبية باكستانية",روبية,بايسا
PLN,"زلوتي بولندي",زلوتي,جروس
PYG,"غواراني باراغواي",غواراني,سينتيمو
QAR,"الريال القطري",ريال,درهم
RON,"ليو روماني",ليو,باني
RSD,"الدينار الصربي",دينار,الفقرة
RUB,"الروبل الروسي",روبل,كوبيكا
RWF,"فرنك رواندي",فرنك,سنت
SAR,"الريال السعودي",ريال,هللة
SBD,"دولار جزر سليمان",دولار,سنت
SCR,"روبية سيشلية",روبية,سنت
SDG,"الجنية السوداني",جنيه,قروش
SEK,"كرونة سويدية",كرونا,أورين
SGD,"دولار سينغافوري",دولار,سنت
SHP,"جنيه سانت هيليني",جنيه,بيني
SLL,"ليون سيراليوني",ليون,سنت
SOS,"شلن صومالي",شلن,سينتي
SRD,"الدولار السورينامي",دولار,سنت
STD,"دوبرا ساو تومي وبرينسيب",دوبرا,سنتيم
SYP,"الليرة السورية",جنيه,قرش
SZL,"ليلانغيني سوازيلندي",ليلانجيني,سنت
THB,"البات التايلاندي",باهت,ساتانغ
TJS,"ساماني طاجيكي",سوموني,ديرام
TMT,"منات تركمانستاني",مانات,تنغي
TND,"الدينار التونسي",دينار,مليم
TOP,"بانغا تونغي",هاو,السنيتي
TRY,"الليرة التركية",ليرة,قرش
TTD,"دولار ترينيداد وتوباغو",دولار,سنت
TWD,"الدولار التايواني",دولار,جياو
TZS,"شلن تنزاني",شلن,سنت
UAH,"الهريفنيا الأوكرانية",الهريفنيا,كوبيكا
UGX,"الشلن الأوغندي",شلن,سنت
USD,"الدولار الأمريكي",دولار,سنت
UYU,"بيزو أوروغواي",بيزو,سنتيسيمو
UZS,"سوم أوزبكستاني",سوم,تيين
VEF,"بوليفار فنزويلي","بوليفاريس فويرتس",سينتيمو
VND,"دونغ فيتنامي",دونغ,إكسو
VUV,"فاتو فانواتي",فاتو,
WST,"تالا ساموي",تالا,سين
XAF,"فرنك وسط أفريقي",فرنك,سنتيم
XCD,"دولار شرق الكاريبي",دولار,سنت
XOF,"فرنك غرب أفريقي",فرنك,سنت
XPF,"فرنك سويسري",فرنك,سنت
YER,"ريال يمني",ريال,فلس
ZAR,"راند جنوب أفريقي",راند,سنت
ZMW,"كواشا زامبيا",كواشا,نجوي
