code,name,major,minor
ERN,エリトリア・ナクファ,ナクファ,セント
ETB,エチオピア・ブル,ブル,サンティム
ETH,イーサリアム,イーサ,グウェイ
EUR,ユーロ,ユーロ,セント
FJD,フィジー・ドル,ドル,セント
FKP,フォークランド諸島ポンド,ポンド,ペンス
GBP,イギリス・ポンド,ポンド,ペンス
GEL,ジョージア・ラリ,ラリ,テトリ
GHS,ガーナ・セディ,セディ,ペセワ
GIP,ジブラルタル・ポンド,ポンド,ペンス
GMD,ガンビア・ダラシ,ダラシ,ブトゥット
GNF,ギニア・フラン,フラン,サンチーム
GTQ,グアテマラ・ケツァル,ケツァル,センタボ
GYD,ガイアナ・ドル,ドル,セント
HKD,香港ドル,ドル,セント
HNL,ホンジュラス・レンピラ,レンピラ,センタボ
HRK,クロアチア・クーナ,クーナ,リパ
HTG,ハイチ・グールド,グールド,サンチーム
HUF,ハンガリー・フォリント,フォリント,フィレール
IDR,インドネシア・ルピア,ルピア,セン
ILS,イスラエル新シェケル,シェケル,アゴラ
INR,インド・ルピー,ルピー,パイサ
IQD,イラク・ディナール,ディナール,フィルス
IRR,イラン・リアル,リアル,ディナール
ISK,アイスランド・クローナ,クローナ,エイリル
JMD,ジャマイカ・ドル,ドル,セント
JOD,ヨルダン・ディナール,ディナール,ピアストル
JPY,日本円,円,銭
KES,ケニア・シリング,シリング,セント
KGS,キルギス・ソム,ソム,ティイン
KHR,カンボジア・リエル,リエル,カック
KMF,コモロ・フラン,フラン,サンチーム
KPW,北朝鮮ウォン,ウォン,チョン
KRW,韓国ウォン,ウォン,ジョン
KWD,クウェート・ディナール,ディナール,フィルス
KYD,ケイマン諸島ドル,ドル,セント
KZT,カザフスタン・テンゲ,テンゲ,ティイン
LAK,ラオス・キープ,キープ,アット
LBP,レバノン・ポンド,ポンド,ピアストル
LRD,リベリア・ドル,ドル,セント
LSL,レソト・ロチ,ロチ（マロチ）,センテ
LTL,リトアニア・リタス,リタス,センタス
LYD,リビア・ディナール,ディナール,ディルハム
MAD,モロッコ・ディルハム,ディルハム,サンティム
MDL,モルドバ・レウ,レウ,バン
MGA,マダガスカル・アリアリ,アリアリ,イライムビランジャ
MKD,マケドニア・デナル,デナル,デニ
MMK,ミャンマー・チャット,チャット,ピャ
MNT,モンゴル・トグログ,トグログ,メンゲ
MOP,マカオ・パタカ,パタカ,アボス
MRO,モーリタニア・ウギア,ウギア,フムス
MUR,モーリシャス・ルピー,ルピー,セント
MVR,モルディブ・ルフィヤ,ルフィヤ,ラリ
MWK,マラウイ・クワチャ,クワチャ,タンバラ
MXN,メキシコ・ペソ,ペソ,センタボ
MYR,マレーシア・リンギット,リンギット,セン
MZN,モザンビーク・メティカル,メティカル,センタボ
NAD,ナミビア・ドル,ドル,セント
NGN,ナイジェリア・ナイラ,ナイラ,コボ
NIO,ニカラグア・コルドバ,コルドバ,センタボ
NOK,ノルウェー・クローネ,クローネ,オーレ
NPR,ネパール・ルピー,ルピー,パイサ
NZD,ニュージーランド・ドル,ドル,セント
OMR,オマーン・リアル,リアル,バイサ
PAB,パナマ・バルボア,バルボア,センテシモ
PEN,ペルー・ヌエボ・ソル,ヌエボ・ソル,センティモ
PGK,パプアニューギニア・キナ,キナ,トエア
PHP,フィリピン・ペソ,ペソ,センタボ
PKR,パキスタン・ルピー,ルピー,パイサ
PLN,ポーランド・ズウォティ,ズウォティ,グロシュ
PYG,パラグアイ・グアラニー,グアラニー,センティモ
QAR,カタール・リヤル,リヤル,ディルハム
RON,ルーマニア・レウ,レウ,バニ
RSD,セルビア・ディナール,ディナール,パラ
RUB,ロシア・ルーブル,ルーブル,カペイカ
RWF,ルワンダ・フラン,フラン,サンチーム
SAR,サウジアラビア・リヤル,リヤル,ハララ
SBD,ソロモン諸島ドル,ドル,セント
SCR,セーシェル・ルピー,ルピー,セント
SDG,スーダン・ポンド,ポンド,ピアストル
SEK,スウェーデン・クローナ,クローナ,オーレン
SGD,シンガポール・ドル,ドル,セント
SHP,セントヘレナ・ポンド,ポンド,ペンス
SLL,シエラレオネ・レオン,レオン,セント
SOS,ソマリア・シリング,シリング,センティ
SRD,スリナム・ドル,ドル,セント
STD,サントメ・プリンシペ・ドブラ,ドブラ,サンチーム
SYP,シリア・ポンド,ポンド,ピアストル
SZL,エスワティニ・リランゲニ,リランゲニ,セント
THB,タイ・バーツ,バーツ,サタン
TJS,タジキスタン・ソモニ,ソモニ,ディラム
TMT,トルクメニスタン・マナト,マナト,テュイン
TND,チュニジア・ディナール,ディナール,ミリーム
TOP,トンガ・パアンガ,ハウ,セニティ
TRY,トルコ・リラ,リラ,クルシュ
TTD,トリニダード・トバゴ・ドル,ドル,セント
TWD,ニュー台湾ドル,ドル,角
TZS,タンザニア・シリング,シリング,セント
UAH,ウクライナ・フリヴニャ,フリヴニャ,コピイカ
UGX,ウガンダ・シリング,シリング,セント
USD,アメリカ・ドル,ドル,セント
UYU,ウルグアイ・ペソ,ペソ,センタボ
UZS,ウズベキスタン・スム,スム,ティイン
VEF,ベネズエラ・ボリバル,ボリバル・フエルテス,センティモ
VND,ベトナム・ドン,ドン,ス
VUV,バヌアツ・バツ,バツ,
WST,サモア・タラ,タラ,セネ
XAF,CFAフランBEAC,フラン,サンチーム
XCD,東カリブ・ドル,ドル,セント
XOF,CFAフランBCEAO,フラン,サンチーム
XPF,CFPフラン,フラン,サンチーム
YER,イエメン・リアル,リアル,フィルス
ZAR,南アフリカ・ランド,ランド,セント
ZMW,ザンビア・クワチャ,クワチャ,ングウェ
