code,name,major,minor
KZT,哈萨克斯坦坚戈,坚戈,铁因
LAK,老挝基普,基普,阿特
LBP,黎巴嫩镑,镑,皮阿斯特
LRD,利比里亚元,元,分
LSL,莱索托洛蒂,洛蒂（马洛蒂）,分
LTL,立陶宛立特,立特,分
LYD,利比亚第纳尔,第纳尔,迪尔哈姆
MAD,摩洛哥迪拉姆,迪拉姆,桑提姆
MDL,摩尔多瓦列伊,列伊,巴尼
MGA,马达加斯加阿里亚里,阿里亚里,伊赖姆比兰贾
MKD,马其顿第纳尔,第纳尔,第尼
MMK,缅甸元,元,分
MNT,蒙古图格里克,图格里克,蒙戈
MOP,澳门元,元,仙
MRO,毛里塔尼亚乌吉亚,乌吉亚,胡姆斯
MUR,毛里求斯卢比,卢比,分
MVR,马尔代夫拉菲亚,拉菲亚,拉里
MWK,马拉维克瓦查,克瓦查,坦巴拉
MXN,墨西哥比索,比索,分
MYR,马来西亚林吉特,林吉特,仙
MZN,莫桑比克梅蒂卡尔,梅蒂卡尔,分
NAD,纳米比亚元,元,分
NGN,尼日利亚奈拉,奈拉,科博
NIO,尼加拉瓜科多巴,科多巴,分
NOK,挪威克朗,克朗,欧尔
NPR,尼泊尔卢比,卢比,派萨
NZD,新西兰元,元,分
OMR,阿曼里亚尔,里亚尔,拜萨
PAB,巴拿马巴波亚,巴波亚,分
PEN,秘鲁新索尔,新索尔,分
PGK,巴布亚新几内亚基那,基那,托亚
PHP,菲律宾比索,比索,分
PKR,巴基斯坦卢比,卢比,派萨
PLN,波兰兹罗提,兹罗提,格罗希
PYG,巴拉圭瓜拉尼,瓜拉尼,分
QAR,卡塔尔里亚尔,里亚尔,迪拉姆
RON,罗马尼亚列伊,列伊,巴尼
RSD,塞尔维亚第纳尔,第纳尔,帕拉
RUB,俄罗斯卢布,卢布,戈比
RWF,卢旺达法郎,法郎,生丁
SAR,沙特里亚尔,里亚尔,哈拉拉
SBD,所罗门群岛元,元,分
SCR,塞舌尔卢比,卢比,分
SDG,苏丹镑,镑,皮阿斯特
SEK,瑞典克朗,克朗,欧雷
SGD,新加坡元,元,分
SHP,圣赫勒拿镑,镑,便士
SLL,塞拉利昂利昂,利昂,分
SOS,索马里先令,先令,分
SRD,苏里南元,元,分
STD,圣多美和普林西比多布拉,多布拉,生丁
SYP,叙利亚镑,镑,皮阿斯特
SZL,斯威士兰里兰吉尼,里兰吉尼,分
THB,泰铢,铢,萨当
TJS,塔吉克斯坦索莫尼,索莫尼,迪拉姆
TMT,土库曼斯坦马纳特,马纳特,坚戈
TND,突尼斯第纳尔,第纳尔,米利姆
TOP,汤加潘加,潘加,分
TRY,土耳其里拉,里拉,库鲁斯
TTD,特立尼达和多巴哥元,元,分
TWD,新台币,元,角
TZS,坦桑尼亚先令,先令,分
UAH,乌克兰格里夫纳,格里夫纳,戈比
UGX,乌干达先令,先令,分
USD,美元,元,分
UYU,乌拉圭比索,比索,分
UZS,乌兹别克斯坦索姆,索姆,提因
VEF,委内瑞拉玻利瓦尔,玻利瓦尔,分
VND,越南盾,盾,苏
VUV,瓦努阿图瓦图,瓦图,
WST,萨摩亚塔拉,塔拉,分
XAF,中非法郎,法郎,生丁
XCD,东加勒比元,元,分
XOF,西非法郎,法郎,生丁
XPF,太平洋法郎,法郎,生丁
YER,也门里亚尔,里亚尔,菲尔
ZAR,南非兰特,兰特,分
ZMW,赞比亚克瓦查,克瓦查,恩格韦
