code,male,female
SL,Sierraleonés,Sierraleonesa
SV,Salvadoreño,Salvadoreña
SM,Sanmarinense,Sanmarinense
SO,Somalí,Somalí
PM,"Sanpedrino o Miquelonés","Sanpedrina o Miquelonesa"
RS,Serbio,Serbia
SS,"Sur sudanés","Sur sudanesa"
ST,Santotomense,Santotomense
SR,Surinamés,Surinamesa
SK,Eslovaco,Eslovaca
SI,Esloveno,Eslovena
SE,Sueco,Sueca
SZ,Suazi,Suazi
SC,Seychelense,Seychelense
SY,Sirio,Siria
TC,Turcocaiqueño,Turcocaiqueña
TD,Chadiano,Chadiana
TG,Togolés,Togolesa
TH,Tailandés,Tailandesa
TJ,Tayiko,Tayika
TK,Tokelauano,Tokelauana
TM,Turcomano,Turcomana
TL,Timorense,Timorense
TO,Tongano,Tongana
TT,Trinitense,Trinitense
TN,Tunecino,Tunecina
TR,Turco,Turca
TV,Tuvaluano,Tuvaluana
TW,Taiwanés,Taiwanesa
TZ,Tanzano,Tanzana
UG,Ugandés,Ugandesa
UA,Ucraniano,Ucraniana
UM,Estadounidense,Estadounidense
UY,Uruguayo,Uruguaya
US,Estadounidense,Estadounidense
UZ,Uzbeko,Uzbeca
VA,Vaticano,Vaticana
VC,Sanvicentino,Sanvicentina
VE,Venezolano,Venezolana
VG,Virginense,Virginense
VI,Virginense,Virginense
VN,Vietnamita,Vietnamita
VU,Vanuatuense,Vanuatuense
WF,"Wallisiano o Futunense","Wallisiana o Futunense"
WS,Samoano,Samoana
YE,Yemení,Yemení
ZA,Sudafricano,Sudafricana
ZM,Zambiano,Zambiana
ZW,Zimbabuense,Zimbabuense
