code,male,female
EG,Égyptien,Égyptienne
ER,Érythréen,Érythréenne
EH,Sahraoui,Sahraouie
ES,Espagnol,Espagnole
EE,Estonien,Estonienne
ET,Éthiopien,Éthiopienne
FI,Finlandais,Finlandaise
FJ,Fidjien,Fidjienne
FK,Malouin,Malouinne
FR,Français,Française
FO,Féroïen,Féroïenne
FM,Micronésien,Micronésienne
GA,Gabonais,Gabonaise
GB,Britannique,Britannique
GE,Géorgien,Géorgienne
GG,Guernesiais,Guernesiaise
GH,Ghanéen,Ghanéenne
GI,Gibraltarien,Gibraltarienne
GN,Guinéen,Guinéenne
GP,Guadeloupéen,Guadeloupéenne
GM,Gambien,Gambienne
GW,Bissau-Guinéen,Bissau-Guinéenne
GQ,Équato-guinéen,Équato-guinéenne
GR,Grec,Grecque
GD,Grenadien,Grenadienne
GL,Groenlandais,Groenlandaise
GT,Guatémaltèque,Guatémaltèque
GF,Guyanais,Guyanaise
GU,Guamien,Guamienne
GY,Guyanien,Guyanienne
HK,Hongkongais,Hongkongaise
HM,Heardien,Heardienne
HN,Hondurien,Hondurienne
HR,Croate,Croate
HT,Haïtien,Haïtienne
HU,Hongrois,Hongroise
ID,Indonésien,Indonésienne
IM,Manxois,Manxoise
IN,Indien,Indienne
IO,Britanno-indien,Britanno-indienne
IE,Irlandais,Irlandaise
IR,Iranien,Iranienne
IQ,Irakien,Irakienne
IS,Islandais,Islandaise
IL,Palestinien,Palestinienne
IT,Italien,Italienne
JM,Jamaïcain,Jamaïcaine
JE,Jersiais,Jersiaise
JO,Jordanien,Jordanienne
JP,Japonais,Japonaise
KZ,Kazakhstanais,Kazakhstanaise
KE,Kényan,Kényane
KG,Kirghize,Kirghize
KH,Cambodgien,Cambodgienne
KI,Kiribatien,Kiribatienne
KN,Kittitien-et-nevicien,Kittitienne-et-nevicienne
KR,Sud-coréen,Sud-coréenne
XK,Kosovar,Kosovare
KW,Koweïtien,Koweïtienne
LA,Laotien,Laotienne
LB,Libanais,Libanaise
LR,Libérien,Libérienne
LY,Libyen,Libyenne
LC,Saint-Lucien,Saint-Lucienne
LI,Liechtensteinois,Liechtensteinoise
LK,Sri-lankais,Sri-lankaise
LS,Lésothien,Lésothienne
LT,Lituanien,Lituanienne
LU,Luxembourgeois,Luxembourgeoise
LV,Letton,Lettone
MO,Macanais,Macanaise
MF,Saint-Martinois,Saint-Martinoise
MA,Marocain,Marocaine
MC,Monégasque,Monégasque
MD,Moldave,Moldave
MG,Malgache,Malgache
MV,Maldivien,Maldivienne
MX,Mexicain,Mexicaine
MH,Marshallais,Marshallaise
MK,Macédonien,Macédonienne
ML,Malien,Malienne
MT,Maltais,Maltaise
MM,Birman,Birmane
ME,Monténégrin,Monténégrine
MN,Mongol,Mongole
MP,Américan,Américaine
MZ,Mozambicain,Mozambicaine
MR,Mauritanien,Mauritanienne
MS,Montserratien,Montserratienne
MQ,Martiniquais,Martiniquaise
MU,Mauricien,Mauricienne
MW,Malawien,Malawienne
MY,Malaisien,Malaisienne
YT,Mahorais,Mahoraise
NA,Namibien,Namibienne
NC,Néo-Calédonien,Néo-Calédonienne
NE,Nigérien,Nigérienne
NF,Norfolkais,Norfolkaise
NG,Nigérian,Nigériane
NI,Nicaraguayen,Nicaraguayenne
NU,Niuéen,Niuéenne
NL,Néerlandais,Néerlandaise
NO,Norvégien,Norvégienne
NP,Népalais,Népalaise
NR,Nauruan,Nauruane
NZ,Neo-Zélandais,Neo-Zélandaise
OM,Omanais,Omanaise
PK,Pakistanais,Pakistanaise
PA,Panaméen,Panaméenne
PN,Pitcairnais,Pitcairnaise
PE,Péruvien,Péruvienne
PH,Philippin,Philippine
PW,Paluan,Paluane
PG,Papouasien,Papouasienne
PL,Polonais,Polonaise
PR,Portoricain,Portoricaine
KP,Nord-coréen,Nord-coréenne
PT,Portugais,Portugaise
PY,Paraguayen,Paraguayenne
PS,Palestinien,Palestinienne
PF,Polynésien,Polynésienne
QA,Qatarien,Qatarienne
RE,Réunionnais,Réunionnaise
RO,Roumain,Roumaine
RU,Russe,Russe
RW,Rwandais,Rwandaise
SA,Saoudien,Saoudienne
SD,Soudanais,Soudanaise
SN,Sénégalais,Sénégalaise
SG,Singapourien,Singapourienne
GS,"Géorgien du Sud","Géorgienne du Sud"
SJ,Svalbardien,Svalbardienne
SB,Salomonien,Salomonienne
SL,Sierra-leonais,Sierra-leonaise
SV,Salvadorien,Salvadorienne
SM,Saint-Marinais,Saint-Marinaise
SO,Somalien,Somalienne
PM,"Saint-Pierrais, Miquelonais","Saint-Pierraise, Miquelonaise"
RS,Serbe,Serbe
SS,Sud-Soudanais,Sud-Soudanaise
ST,Santoméen,Santoméenne
SR,Surinamais,Surinamaise
SK,Slovaque,Slovaque
SI,Slovène,Slovène
SE,Suédois,Suédoise
SZ,Swazie,Swazie
SC,Seychellois,Seychelloise
SY,Syrien,Syrienne
TC,Turquoisien,Turquoisienne
TD,Tchadien,Tchadienne
TG,Togolais,Togolaise
TH,Thaïlandais,Thaïlandaise
TJ,Tadjike,Tadjike
TK,Tokelauien,Tokelauienne
TM,Turkmène,Turkmène
TL,Est-timorais,Est-timoraise
TO,Tonguien,Tonguienne
TT,Trinidadien,Trinidadienne
TN,Tunisien,Tunisienne
TR,Turc,Turque
TV,Tuvaluan,Tuvaluane
TW,Taïwanais,Taïwanaise
TZ,Tanzanien,Tanzanienne
UG,Ougandais,Ougandaise
UA,Ukrainien,Ukrainienne
UM,"Américain insulaire","Américaine insulaire"
UY,Uruguayen,Uruguayenne
US,Américain,Américaine
UZ,Ouzbèke,Ouzbèke
VA,Vatican,Vaticane
VC,Vincentais,Vincentaise
VE,Vénézuélien,Vénézuélienne
VG,"Viergien britannique","Viergienne britannique"
VI,"Viergien américain","Viergienne américaine"
VN,Vietnamien,Vietnamienne
VU,Vanuatuan,Vanuatuane
WF,Wallisien,Wallisienne
WS,Samoan,Samoane
YE,Yéménite,Yéménite
ZA,Sud-africain,Sud-africaine
ZM,Zambien,Zambienne
ZW,Zimbabwéen,Zimbabwéenne
