code,male,female
NI,Nicaraguaner,Nicaraguanerin
NU,Niueaner,Niueanerin
NL,Niederländer,Niederländerin
NO,Norweger,Norwegerin
NP,Nepalese,Nepalesin
NR,Nauruer,Nauruerin
NZ,Neuseeländer,Neuseeländerin
OM,Omaner,Omanerin
PK,Pakistaner,Pakistanerin
PA,Panamaer,Panamaerin
PN,Pitcairner,Pitcairnerin
PE,Peruaner,Peruanerin
PH,Philippiner,Philippinerin
PW,Palauer,Palauerin
PG,Papua-Neuguineer,Papua-Neuguineerin
PL,Pole,Polin
PR,"Puerto Ricaner","Puerto Ricanerin"
KP,Nordkoreaner,Nordkoreanerin
PT,Portugiese,Portugiesin
PY,Paraguayer,Paraguayerin
PS,Palästinenser,Palästinenserin
PF,Französisch-Polynesier,Französisch-Polynesierin
QA,Katarer,Katarerin
RE,Réunionese,Réunionesin
RO,Rumäne,Rumänin
RU,Russe,Russin
RW,Ruander,Ruanderin
SA,Saudi-Araber,Saudi-Araberin
SD,Sudanese,Sudanesin
SN,Senegaleser,Senegalesin
SG,Singapurer,Singapurerin
GS,Südgeorgier,Südgeorgierin
SJ,Svalbardianer,Svalbardianerin
SB,Salomoner,Salomonerin
SL,Sierra-Leoner,Sierra-Leonerin
SV,Salvadorianer,Salvadorianerin
SM,San-Marinese,San-Marinesin
SO,Somalier,Somalierin
PM,"Saint-Pierrais, Miquelonier","Saint-Pierraise, Miquelonierin"
RS,Serbe,Serbin
SS,Südsudanese,Südsudanesin
ST,São-Toméer,São-Toméerin
SR,Surinamer,Surinamerin
SK,Slowake,Slowakin
SI,Slowene,Slowenin
SE,Schwede,Schwedin
SZ,Eswatinier,Eswatinierin
SC,Seycheller,Seychellerin
SY,Syrer,Syrerin
TC,"Turks- und Caicosinsulaner","Turks- und Caicosinsulanerin"
TD,Tschader,Tschaderin
TG,Togoer,Togoerin
TH,Thailänder,Thailänderin
TJ,Tadschike,Tadschikin
TK,Tokelauer,Tokelauerin
TM,Turkmene,Turkmenin
TL,Osttimorer,Osttimorerin
TO,Tonganer,Tonganerin
TT,Trinidadier,Trinidadierin
TN,Tunesier,Tunesierin
TR,Türke,Türkin
TV,Tuvaluer,Tuvaluerin
TW,Taiwaner,Taiwanerin
TZ,Tansanier,Tansanierin
UG,Ugander,Uganderin
UA,Ukrainer,Ukrainerin
UM,"Amerikanischer Außengebietsbewohner","Amerikanische Außengebietsbewohnerin"
UY,Uruguayer,Uruguayerin
US,Amerikaner,Amerikanerin
UZ,Usbeke,Usbekin
VA,Vatikaner,Vatikanerin
VC,Vincenter,Vincenterin
VE,Venezolaner,Venezolanerin
VG,"Britischer Junginsulaner","Britische Junginsulanerin"
VI,"Amerikanischer Junginsulaner","Amerikanische Junginsulanerin"
VN,Vietnamese,Vietnamesin
VU,Vanuatuer,Vanuatuerin
WF,Walliser,Walliserin
WS,Samoaner,Samoanerin
YE,Jemenit,Jemenitin
ZA,Südafrikaner,Südafrikanerin
ZM,Sambier,Sambierin
ZW,Simbabwer,Simbabwerin
