code,male,female
FK,"फॉकलैंड द्वीपवासी","फॉकलैंड द्वीपवासी"
FR,फ्रांसीसी,फ्रांसीसी
FO,"फैरो द्वीपवासी","फैरो द्वीपवासी"
FM,माइक्रोनीशियन,माइक्रोनीशियन
GA,गैबोनी,गैबोनी
GB,ब्रिटिश,ब्रिटिश
GE,जॉर्जियाई,जॉर्जियाई
GG,गर्नसी,गर्नसी
GH,घानाई,घानाई
GI,जिब्राल्टर,जिब्राल्टर
GN,गिनी,गिनी
GP,ग्वाडेलूप,ग्वाडेलूप
GM,गाम्बियन,गाम्बियन
GW,गिनी-बिसाऊ,गिनी-बिसाऊ
GQ,"इक्वेटोरियल गिनी","इक्वेटोरियल गिनी"
GR,यूनानी,यूनानी
GD,ग्रेनेडियन,ग्रेनेडियन
GL,ग्रीनलैंडर,ग्रीनलैंडर
GT,ग्वाटेमाला,ग्वाटेमाला
GF,"फ्रेंच गयाना","फ्रेंच गयाना"
GU,गुआम,गुआम
GY,गयाना,गयाना
HK,हांगकांग,हांगकांग
HM,"हर्ड द्वीपवासी","हर्ड द्वीपवासी"
HN,होंडुरन,होंडुरन
HR,क्रोएशियाई,क्रोएशियाई
HT,हैती,हैती
HU,हंगेरियन,हंगेरियन
ID,इंडोनेशियाई,इंडोनेशियाई
IM,"आइल ऑफ मैन","आइल ऑफ मैन"
IN,भारतीय,भारतीय
IO,"ब्रिटिश हिंद महासागर क्षेत्र","ब्रिटिश हिंद महासागर क्षेत्र"
IE,आयरिश,आयरिश
IR,ईरानी,ईरानी
IQ,इराकी,इराकी
IS,आइसलैंडिक,आइसलैंडिक
IL,इज़राइली,इज़राइली
IT,इतालवी,इतालवी
JM,जमैका,जमैका
JE,जर्सी,जर्सी
JO,जॉर्डन,जॉर्डन
JP,जापानी,जापानी
KZ,कज़ाखस्तानी,कज़ाखस्तानी
KE,केन्याई,केन्याई
KG,किर्गिज़,किर्गिज़
KH,कंबोडियाई,कंबोडियाई
KI,किरिबाती,किरिबाती
KN,"सेंट किट्स और नेविस","सेंट किट्स और नेविस"
KR,"दक्षिण कोरियाई","दक्षिण कोरियाई"
XK,कोसोवो,कोसोवो
KW,कुवैती,कुवैती
LA,लाओस,लाओस
LB,लेबनानी,लेबनानी
LR,लाइबेरियाई,लाइबेरियाई
LY,लीबियाई,लीबियाई
LC,"सेंट लूसियन","सेंट लूसियन"
LI,लिकटेंस्टीन,लिकटेंस्टीन
LK,श्रीलंकाई,श्रीलंकाई
LS,लेसोथो,लेसोथो
LT,लिथुआनियाई,लिथुआनियाई
LU,लक्ज़मबर्ग,लक्ज़मबर्ग
LV,लातवियाई,लातवियाई
MO,मकाओ,मकाओ
MF,"सेंट मार्टिन","सेंट मार्टिन"
MA,मोरक्कन,मोरक्कन
MC,मोनाको,मोनाको
MD,मोल्दोवन,मोल्दोवन
MG,मालागासी,मालागासी
MV,मालदीवियन,मालदीवियन
MX,मेक्सिकन,मेक्सिकन
MH,"मार्शल द्वीपवासी","मार्शल द्वीपवासी"
MK,मकदूनियाई,मकदूनियाई
ML,माली,माली
MT,माल्टीज़,माल्टीज़
MM,बर्मी,बर्मी
ME,मोंटेनेग्रो,मोंटेनेग्रो
MN,मंगोलियाई,मंगोलियाई
MP,"उत्तरी मारियाना द्वीपवासी","उत्तरी मारियाना द्वीपवासी"
MZ,मोज़ाम्बिकन,मोज़ाम्बिकन
MR,मॉरिटानियन,मॉरिटानियन
MS,मॉन्टसेराट,मॉन्टसेराट
MQ,मार्टीनिक,मार्टीनिक
MU,मॉरीशियन,मॉरीशियन
MW,मलावी,मलावी
MY,मलेशियाई,मलेशियाई
YT,मायोटियन,मायोटियन
NA,नामीबियाई,नामीबियाई
NC,"न्यू कैलेडोनियन","न्यू कैलेडोनियन"
NE,नाइजीरियाई,नाइजीरियाई
NF,"नॉरफ़ॉक द्वीपवासी","नॉरफ़ॉक द्वीपवासी"
NG,नाइजीरियाई,नाइजीरियाई
NI,निकारागुआई,निकारागुआई
NU,नियूवियन,नियूवियन
NL,डच,डच
NO,नॉर्वेजियन,नॉर्वेजियन
NP,नेपाली,नेपाली
NR,नाउरू,नाउरू
NZ,न्यूजीलैंडर,न्यूजीलैंडर
OM,ओमानी,ओमानी
PK,पाकिस्तानी,पाकिस्तानी
PA,पनामाई,पनामाई
PN,"पिटकैर्न द्वीपवासी","पिटकैर्न द्वीपवासी"
PE,पेरुवियन,पेरुवियन
PH,फिलिपिनो,फिलिपिनो
PW,पलाउ,पलाउ
PG,"पापुआ न्यू गिनी","पापुआ न्यू गिनी"
PL,पोलिश,पोलिश
PR,"प्योर्टो रिकन","प्योर्टो रिकन"
KP,"उत्तर कोरियाई","उत्तर कोरियाई"
PT,पुर्तगाली,पुर्तगाली
PY,पराग्वाई,पराग्वाई
PS,फिलिस्तीनी,फिलिस्तीनी
PF,"फ्रेंच पोलिनेशियन","फ्रेंच पोलिनेशियन"
QA,कतर,कतर
RE,रियूनियन,रियूनियन
RO,रोमानियाई,रोमानियाई
RU,रूसी,रूसी
RW,रवांडाई,रवांडाई
SA,सऊदी,सऊदी
SD,सूडानी,सूडानी
SN,सेनेगली,सेनेगली
SG,सिंगापुरी,सिंगापुरी
GS,"दक्षिण जॉर्जियाई","दक्षिण जॉर्जियाई"
SJ,स्वालबार्डियन,स्वालबार्डियन
SB,"सोलोमन द्वीपवासी","सोलोमन द्वीपवासी"
SL,"सिएरा लियोनियन","सिएरा लियोनियन"
SV,"अल सल्वाडोरियन","अल सल्वाडोरियन"
SM,"सैन मरीनी","सैन मरीनी"
SO,सोमाली,सोमाली
PM,"सेंट पियरे और मिकेलॉन","सेंट पियरे और मिकेलॉन"
RS,सर्बियाई,सर्बियाई
SS,"दक्षिण सूडानी","दक्षिण सूडानी"
ST,"साओ टोमियन","साओ टोमियन"
SR,सूरीनामी,सूरीनामी
SK,स्लोवाक,स्लोवाक
SI,स्लोवेनियाई,स्लोवेनियाई
SE,स्वीडिश,स्वीडिश
SZ,स्वाज़ी,स्वाज़ी
SC,सेशेलोइस,सेशेलोइस
SY,सीरियाई,सीरियाई
TC,"तुर्क और कैकोस द्वीपवासी","तुर्क और कैकोस द्वीपवासी"
TD,चाडी,चाडी
TG,टोगोली,टोगोली
TH,थाई,थाई
TJ,ताजिक,ताजिक
TK,टोकेलाउ,टोकेलाउ
TM,तुर्कमेन,तुर्कमेन
TL,"पूर्वी तिमोरी","पूर्वी तिमोरी"
TO,टोंगन,टोंगन
TT,"त्रिनिदाद और टोबैगो","त्रिनिदाद और टोबैगो"
TN,ट्यूनीशियाई,ट्यूनीशियाई
TR,तुर्की,तुर्की
TV,तुवालु,तुवालु
TW,ताइवानी,ताइवानी
TZ,तंजानियाई,तंजानियाई
UG,युगांडी,युगांडी
UA,यूक्रेनी,यूक्रेनी
UM,"अमेरिकी द्वीपवासी","अमेरिकी द्वीपवासी"
UY,उरुग्वाई,उरुग्वाई
US,अमेरिकी,अमेरिकी
UZ,उज़्बेक,उज़्बेक
VA,वेटिकन,वेटिकन
VC,"सेंट विंसेंट","सेंट विंसेंट"
VE,वेनेजुएलाई,वेनेजुएलाई
VG,"ब्रिटिश वर्जिन द्वीपवासी","ब्रिटिश वर्जिन द्वीपवासी"
VI,"अमेरिकी वर्जिन द्वीपवासी","अमेरिकी वर्जिन द्वीपवासी"
VN,वियतनामी,वियतनामी
VU,वानुअतु,वानुअतु
WF,वालिसियन,वालिसियन
WS,समोअन,समोअन
YE,यमनी,यमनी
ZA,"दक्षिण अफ्रीकी","दक्षिण अफ्रीकी"
ZM,जाम्बियाई,जाम्बियाई
ZW,जिम्बाब्वेई,जिम्बाब्वेई
