code,male,female
LB,Libanês,Libanesa
LR,Liberiano,Liberiana
LY,Líbio,Líbia
LC,Santa-lucense,Santa-lucense
LI,Liechtensteinense,Liechtensteinense
LK,Cingalês,Cingalesa
LS,Lesotiano,Lesotiana
LT,Lituano,Lituana
LU,Luxemburguês,Luxemburguesa
LV,Letão,Letã
MO,Macaense,Macaense
MF,São-martinhense,São-martinhense
MA,Marroquino,Marroquina
MC,Monegasco,Monegasca
MD,Moldávio,Moldávia
MG,Malgaxe,Malgaxe
MV,Maldivo,Maldiva
MX,Mexicano,Mexicana
MH,Marshallino,Marshallina
MK,Macedônio,Macedônia
ML,Maliano,Maliana
MT,Maltês,Maltesa
MM,Birmanês,Birmaneza
ME,Montenegrino,Montenegrina
MN,Mongol,Mongol
MP,Marianense,Marianense
MZ,Moçambicano,Moçambicana
MR,Mauritano,Mauritana
MS,Montserratense,Montserratense
MQ,Martinicano,Martinicana
MU,Mauriciano,Mauriciana
MW,Malauiano,Malauiana
MY,Malaio,Malaia
YT,Maiotense,Maiotense
NA,Namibiano,Namibiana
NC,Neocaledônio,Neocaledônia
NE,Nigerino,Nigerina
NF,Norfolkense,Norfolkense
NG,Nigeriano,Nigeriana
NI,Nicaraguense,Nicaraguense
NU,Niuano,Niuana
NL,Holandês,Holandesa
NO,Norueguês,Norueguesa
NP,Nepalês,Nepalesa
NR,Nauruano,Nauruana
NZ,Neozelandês,Neozelandesa
OM,Omanense,Omanense
PK,Paquistanês,Paquistanesa
PA,Panamenho,Panamenha
PN,Pitcairnense,Pitcairnense
PE,Peruano,Peruana
PH,Filipino,Filipina
PW,Palauano,Palauana
PG,Papua-neoguineano,Papua-neoguineana
PL,Polonês,Polonesa
PR,Portorriquenho,Portorriquenha
KP,Norte-coreano,Norte-coreana
PT,Português,Portuguesa
PY,Paraguaio,Paraguaia
PS,Palestino,Palestina
PF,Polinésio,Polinésia
QA,Catariano,Catariana
RE,Reunionense,Reunionense
RO,Romeno,Romena
RU,Russo,Russa
RW,Ruandês,Ruandesa
SA,Saudita,Saudita
SD,Sudanês,Sudanesa
SN,Senegalês,Senegalesa
SG,Singapurense,Singapurense
GS,"Georgiano do Sul","Georgiana do Sul"
SJ,Svalbardense,Svalbardense
SB,Salomônico,Salomônica
SL,Serra-leonês,Serra-leonesa
SV,Salvadorenho,Salvadorenha
SM,Sanmarinense,Sanmarinense
SO,Somali,Somali
PM,"São-pedrense, Miquelonense","São-pedrense, Miquelonense"
RS,Sérvio,Sérvia
SS,Sul-sudanês,Sul-sudanesa
ST,Santomense,Santomense
SR,Surinamês,Surinamesa
SK,Eslovaco,Eslovaca
SI,Esloveno,Eslovena
SE,Sueco,Sueca
SZ,Suazi,Suazi
SC,Seichelense,Seichelense
SY,Sírio,Síria
TC,Turco-caicense,Turco-caicense
TD,Chadiano,Chadiana
TG,Togolês,Togolesa
TH,Tailandês,Tailandesa
TJ,Tadjique,Tadjique
TK,Tokelauano,Tokelauana
TM,Turcomeno,Turcomena
TL,Timorense,Timorense
TO,Tonganês,Tonganesa
TT,Trinitário,Trinitária
TN,Tunisiano,Tunisiana
TR,Turco,Turca
TV,Tuvaluano,Tuvaluana
TW,Taiwanês,Taiwanesa
TZ,Tanzaniano,Tanzaniana
UG,Ugandense,Ugandense
UA,Ucraniano,Ucraniana
UM,"Americano insular","Americana insular"
UY,Uruguaio,Uruguaia
US,Americano,Americana
UZ,Uzbeque,Uzbeque
VA,Vaticano,Vaticana
VC,São-vicentino,São-vicentina
VE,Venezuelano,Venezuelana
VG,"Ilhéu Virgem Britânico","Ilhéa Virgem Britânica"
VI,"Ilhéu Virgem Americano","Ilhéa Virgem Americana"
VN,Vietnamita,Vietnamita
VU,Vanuatuense,Vanuatuense
WF,Wallisiano,Wallisiana
WS,Samoano,Samoana
YE,Iemenita,Iemenita
ZA,Sul-africano,Sul-africana
ZM,Zambiano,Zambiana
ZW,Zimbabuano,Zimbabuana
