code,name,major,minor
LAK,"लाओ किप",किप,अत्त
LBP,"लेबनानी पाउंड",पाउंड,पियास्त्र
LRD,"लाइबेरियाई डॉलर",डॉलर,सेंट
LSL,"लेसोथो लोटी","लोटी (मालोटी)",सेंते
LTL,"लिथुआनियाई लिटास",लिटास,सेंटास
LYD,"लीबियाई दिनार",दिनार,दिरहम
MAD,"मोरक्कन दिरहम",दिरहम,संतिम
MDL,"मोल्दोवन लियू",लियू,बान
MGA,"मालागासी आरियारी",आरियारी,इराइम्बिलांजा
MKD,"मैसिडोनियन दिनार",दिनार,देनी
MMK,"म्यांमार क्यात",क्यात,प्या
MNT,"मंगोलियाई तुग्रिक",तुग्रिक,मोंगो
MOP,"मकानीज पटाका",पटाका,हो
MRO,"मॉरिटानियन औगुइया",औगुइया,खौम्स
MUR,"मॉरीशस रुपया",रुपया,सेंट
MVR,"मालदीवियन रूफिया",रूफिया,लारी
MWK,"मलावी क्वाचा",क्वाचा,टंबाला
MXN,"मेक्सिकन पेसो",डॉलर,सेंटावो
MYR,"मलेशियाई रिंगित",रिंगित,सेन
MZN,"मोज़ाम्बिकन मेटिकल",मेटिकल,सेंटावो
NAD,"नामीबियाई डॉलर",डॉलर,सेंट
NGN,"नाइजीरियाई नायरा",नायरा,कोबो
NIO,"निकारागुआन कोरडोबा",कोरडोबा,सेंटावो
NOK,"नॉर्वेजियन क्रोन",क्रोन,ओरे
NPR,"नेपाली रुपया",रुपया,पैसा
NZD,"न्यूजीलैंड डॉलर",डॉलर,सेंट
OMR,"ओमानी रियाल",रियाल,बैसा
PAB,"पनामानियन बालबोआ",बालबोआ,सेंट
PEN,"पेरुवियन न्यूवो सोल","न्यूवो सोल",सेंट
PGK,"पापुआ न्यू गिनी कीना",कीना,टोएआ
PHP,"फिलिपीनी पेसो",पेसो,सेंटिमो
PKR,"पाकिस्तानी रुपया",रुपया,पैसा
PLN,"पोलिश ज़्लॉटी",ज़्लॉटी,ग्रोस्ज़
PYG,"पैराग्वेयाई गुआरानी",गुआरानी,सेंट
QAR,"क़तरी रियाल",रियाल,दिरहम
RON,"रोमानियाई लियू",लियू,बानी
RSD,"सर्बियाई दिनार",दिनार,पारा
RUB,"रूसी रूबल",रूबल,कोपेका
RWF,"रवांडा फ्रैंक",फ्रैंक,सेंटाइम
SAR,"सऊदी रियाल",रियाल,हालाला
SBD,"सोलोमन द्वीप डॉलर",डॉलर,सेंट
SCR,"सेशेलोइस रुपया",रुपया,सेंट
SDG,"सूडानी पाउंड",पाउंड,पियास्त्र
SEK,"स्वीडिश क्रोना",क्रोना,ओरेन
SGD,"सिंगापुर डॉलर",डॉलर,सेंट
SHP,"सेंट हेलेना पाउंड",पाउंड,पेंस
SLL,"सिएरा लियोनियन लिओन",लिओन,सेंट
SOS,"सोमाली शिलिंग",शिलिंग,सेंटी
SRD,"सूरीनाम डॉलर",डॉलर,सेंट
STD,"साओ टोमे और प्रिंसिपे डोब्रा",डोब्रा,सेंटाइम
SYP,"सीरियाई पाउंड",पाउंड,पियास्त्र
SZL,"स्वाज़ी लिलांगेनी",लिलांगेनी,सेंट
THB,"थाई बहत",बहत,सातांग
TJS,"ताजिकिस्तानी सोमोनी",सोमोनी,दिरम
TMT,"तुर्कमेनिस्तान मनात",मनात,तेंगे
TND,"ट्यूनीशियाई दिनार",दिनार,मिलिम
TOP,"टोंगन पांगा",हाउ,सेनिति
TRY,"तुर्की लीरा",लीरा,कुरुश
TTD,"त्रिनिदाद और टोबैगो डॉलर",डॉलर,सेंट
TWD,"न्यू ताइवान डॉलर",डॉलर,जियाओ
TZS,"तंजानियाई शिलिंग",शिलिंग,सेंट
UAH,"यूक्रेनी ह्रीव्निया",ह्रीव्निया,कोपियका
UGX,"युगांडा शिलिंग",शिलिंग,सेंट
USD,"अमेरिकी डॉलर",डॉलर,सेंट
UYU,"उरुग्वे पेसो",पेसो,सेंट
UZS,"उज़्बेकिस्तानी सोम",सोम,तियिन
VEF,"वेनेजुएलन बोलिवर","बोलिवारेस फुएर्तेस",सेंट
VND,"वियतनामी डोंग",डोंग,सू
VUV,"वानुअतु वातु",वातु,
WST,"समोअन टाला",टाला,सेने
XAF,"सीएफए फ्रैंक बीईएसी",फ्रैंक,सेंटाइम
XCD,"ईस्टर्न कैरेबियन डॉलर",डॉलर,सेंट
XOF,"सीएफए फ्रैंक बीसीईएओ",फ्रैंक,सेंटाइम
XPF,"सीएफपी फ्रैंक",फ्रैंक,सेंटाइम
YER,"यमनी रियाल",रियाल,फिल्स
ZAR,"दक्षिण अफ्रीकी रैंड",रैंड,सेंट
ZMW,"जाम्बियन क्वाचा",क्वाचा,नग्वी
