name,dst,offset,label_text,label_operator,label_hours,label_minutes
America/St_Barthelemy,No,-14400,(UTC-04:00),-,4,0
America/St_Kitts,No,-14400,(UTC-04:00),-,4,0
America/St_Lucia,No,-14400,(UTC-04:00),-,4,0
America/St_Thomas,No,-14400,(UTC-04:00),-,4,0
America/St_Vincent,No,-14400,(UTC-04:00),-,4,0
America/Toronto,Yes,-14400,(UTC-04:00),-,4,0
America/Tortola,No,-14400,(UTC-04:00),-,4,0
America/Araguaina,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Buenos_Aires,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Catamarca,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Cordoba,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Jujuy,No,-10800,(UTC-03:00),-,3,0
America/Argentina/La_Rioja,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Mendoza,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Rio_Gallegos,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Salta,No,-10800,(UTC-03:00),-,3,0
America/Argentina/San_Juan,No,-10800,(UTC-03:00),-,3,0
America/Argentina/San_Luis,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Tucuman,No,-10800,(UTC-03:00),-,3,0
America/Argentina/Ushuaia,No,-10800,(UTC-03:00),-,3,0
America/Asuncion,No,-10800,(UTC-03:00),-,3,0
America/Bahia,No,-10800,(UTC-03:00),-,3,0
America/Belem,No,-10800,(UTC-03:00),-,3,0
America/Cayenne,No,-10800,(UTC-03:00),-,3,0
America/Coyhaique,No,-10800,(UTC-03:00),-,3,0
America/Fortaleza,No,-10800,(UTC-03:00),-,3,0
America/Glace_Bay,Yes,-10800,(UTC-03:00),-,3,0
America/Goose_Bay,Yes,-10800,(UTC-03:00),-,3,0
America/Halifax,Yes,-10800,(UTC-03:00),-,3,0
America/Maceio,No,-10800,(UTC-03:00),-,3,0
America/Moncton,Yes,-10800,(UTC-03:00),-,3,0
America/Montevideo,No,-10800,(UTC-03:00),-,3,0
America/Paramaribo,No,-10800,(UTC-03:00),-,3,0
America/Punta_Arenas,No,-10800,(UTC-03:00),-,3,0
America/Recife,No,-10800,(UTC-03:00),-,3,0
America/Santarem,No,-10800,(UTC-03:00),-,3,0
America/Santiago,Yes,-10800,(UTC-03:00),-,3,0
America/Sao_Paulo,No,-10800,(UTC-03:00),-,3,0
America/Thule,Yes,-10800,(UTC-03:00),-,3,0
America/St_Johns,Yes,-9000,(UTC-02:30),-,2,30
America/Miquelon,Yes,-7200,(UTC-02:00),-,2,0
America/Noronha,No,-7200,(UTC-02:00),-,2,0
America/Nuuk,Yes,-3600,(UTC-01:00),-,1,0
America/Scoresbysund,Yes,-3600,(UTC-01:00),-,1,0
America/Danmarkshavn,No,0,(UTC+00:00),+,0,0
