code,country_code,regex,lengths,national_prefix,international_prefix,national_example,international_example,e164_example,rfc3966_example
IN,91,"(?:61279|7(?:887[02-9]|9(?:313|79[07-9]))|8(?:079[04-9]|(?:84|91)7[02-8]))\d{5}|(?:6(?:12|[2-47]1|5[17]|6[13]|80)[0189]|7(?:1(?:2[0189]|9[0-5])|2(?:[14][017-9]|8[0-59])|3(?:2[5-8]|[34][017-9]|9[016-9])|4(?:1[015-9]|[29][89]|39|8[389])|5(?:[15][017-9]|2[04-9]|9[7-9])|6(?:0[0-47]|1[0-257-9]|2[0-4]|3[19]|5[4589])|70[0289]|88[089]|97[02-8])|8(?:0(?:6[67]|7[02-8])|70[017-9]|84[01489]|91[0-289]))\d{6}|(?:7(?:31|4[47])|8(?:16|2[014]|3[126]|6[136]|7[78]|83))(?:[0189]\d|7[02-8])\d{5}|(?:6(?:[09]\d|1[04679]|2[03689]|3[05-9]|4[0489]|50|6[069]|7[07]|8[7-9])|7(?:0\d|2[0235-79]|3[05-8]|40|5[0346-8]|6[6-9]|7[1-9]|8[0-79]|9[089])|8(?:0[01589]|1[0-57-9]|2[235-9]|3[03-57-9]|[45]\d|6[02457-9]|7[1-69]|8[0-25-9]|9[02-9])|9\d\d)\d{7}|(?:6(?:(?:1[1358]|2[2457]|3[2-4]|4[235-7]|5[2-689]|6[24578]|8[124-6])\d|7(?:[235689]\d|4[0189]))|7(?:1(?:[013-8]\d|9[6-9])|28[6-8]|3(?:2[0-49]|9[2-5])|4(?:1[2-4]|[29][0-7]|3[0-8]|[56]\d|8[0-24-7])|5(?:2[1-3]|9[0-6])|6(?:0[5689]|2[5-9]|3[02-8]|4\d|5[0-367])|70[13-7]|881))[0189]\d{5}",10,,,"081234 56789","+91 81234 56789",+918123456789,tel:+91-81234-56789
IO,246,"38\d{5}",,,,"380 1234","+246 380 1234",+2463801234,tel:+246-380-1234
IE,353,"8(?:22|[35-9]\d)\d{6}",9,,,"085 012 3456","+353 85 012 3456",+353850123456,tel:+353-85-012-3456
IR,98,"9(?:(?:0[0-5]|[13]\d|2[0-3])\d\d|9(?:[0-46]\d\d|5(?:10|5\d)|8(?:[12]\d|88)|9(?:0[0-3]|[19]\d|21|69|77|8[7-9])))\d{5}",10,,,"0912 345 6789","+98 912 345 6789",+989123456789,tel:+98-912-345-6789
IQ,964,"7[3-9]\d{8}",10,,,"0791 234 5678","+964 791 234 5678",+9647912345678,tel:+964-791-234-5678
IS,354,"(?:38[589]\d\d|6(?:1[1-8]|2[0-6]|3[026-9]|4[014679]|5[0159]|6[0-69]|70|8[06-8]|9\d)|7(?:5[057]|[6-9]\d)|8(?:2[0-59]|[3-69]\d|8[238]))\d{4}",,,,"611 1234","+354 611 1234",+3546111234,tel:+354-611-1234
IL,972,"55(?:4(?:0[01]|10|5[0-7])|57[0-289])\d{4}|5(?:(?:[0-2][02-9]|[36]\d|[49][2-9]|8[3-7])\d|5(?:01|2\d|3[0-3]|4[34]|5[0-25689]|6[6-8]|7[0-267]|8[7-9]|9[1-9]))\d{5}",9,,,050-234-5678,"+972 50-234-5678",+972502345678,tel:+972-50-234-5678
IT,39,"3[2-9]\d{7,8}|(?:31|43)\d{8}","9, 10",,,"312 345 6789","+39 312 345 6789",+393123456789,tel:+39-312-345-6789
JM,1,"(?:658295|876(?:2(?:0[1-9]|[13-9]\d|2[013-9])|[348]\d\d|5(?:0[1-9]|[1-9]\d)|6(?:4[89]|6[67])|7(?:0[07]|7\d|8[1-47-9]|9[0-36-9])|9(?:[01]9|9[0579])))\d{4}",,,,"(876) 210-1234","+1 876-210-1234",+18762101234,tel:+1-876-210-1234
JE,44,"7(?:(?:(?:50|82)9|937)\d|7(?:00[378]|97\d))\d{5}",,,,"07797 712345","+44 7797 712345",+447797712345,tel:+44-7797-712345
JO,962,"7(?:[78][0-25-9]|9\d)\d{6}",9,,,"07 9012 3456","+962 7 9012 3456",+962790123456,tel:+962-7-9012-3456
JP,81,"(?:601[0-4]0|[7-9]0[1-9]\d\d)\d{5}",10,,,090-1234-5678,"+81 90-1234-5678",+819012345678,tel:+81-90-1234-5678
KZ,7,"7(?:0[0-25-8]|47|6[0-4]|7[15-8]|85)\d{7}",10,,,"8 (771) 000 9998","+7 771 000 9998",+77710009998,tel:+7-771-000-9998
KE,254,"(?:1(?:0[0-8]|1[0-7]|2[014]|30)|7\d\d)\d{6}",9,,,"0712 123456","+254 712 123456",+254712123456,tel:+254-712-123456
KG,996,"312(?:58\d|973)\d{3}|(?:2(?:0[0-35]|2\d)|5[0-24-7]\d|600|7(?:[07]\d|55)|88[08]|9(?:12|9[05-9]))\d{6}",9,,,"0700 123 456","+996 700 123 456",+996700123456,tel:+996-700-123-456
KH,855,"(?:(?:1[28]|3[18]|9[67])\d|6[016-9]|7(?:[07-9]|[16]\d)|8(?:[013-79]|8\d))\d{6}|(?:1\d|9[0-57-9])\d{6}|(?:2[3-6]|3[2-6]|4[2-4]|[5-7][2-5])48\d{5}","8, 9",,,"091 234 567","+855 91 234 567",+85591234567,tel:+855-91-234-567
KI,686,"(?:6200[01]|7(?:310[1-9]|5(?:02[03-9]|12[0-47-9]|22[0-7]|[34](?:0[1-9]|8[02-9])|50[1-9])))\d{3}|(?:63\d\d|7(?:(?:[0146-9]\d|2[0-689])\d|3(?:[02-9]\d|1[1-9])|5(?:[0-2][013-9]|[34][1-79]|5[1-9]|[6-9]\d)))\d{4}",8,,,72001234,"+686 72001234",+68672001234,tel:+686-72001234
KN,1,"869(?:48[89]|55[6-8]|66\d|76[02-7])\d{4}",,,,"(869) 765-2917","+1 869-765-2917",+18697652917,tel:+1-869-765-2917
